id,name,x,y,Tot.tr,size,% 
144,MYS,2121045,2412289,4533334,30.15,5.749
145,MYT,1758,196,1954,0.01,0.002
146,NA,348475,484949,833424,5.54,1.057
147,NAM,16986,25269,42255,0.28,0.054
148,NCL,3523,4770,8293,0.06,0.011
149,NER,27,17485,17512,0.12,0.022
150,NFK,33,0,33,0.00,0.000
151,NGA,14039,1250,15289,0.10,0.019
152,NIC,15945,25861,41806,0.28,0.053
153,NIU,35,0,35,0.00,0.000
154,NLD,423833,400349,824182,5.48,1.045
155,NOR,86892,57096,143988,0.96,0.183
156,NPL,151,201,352,0.00,0.000
157,NRU,147,0,147,0.00,0.000
158,NZL,220182,41930,262112,1.74,0.332
159,OMN,50624,59590,110214,0.73,0.140
160,PAK,26324,57483,83807,0.56,0.106
161,PAN,13456,4252,17708,0.12,0.022
162,PER,318375,167076,485451,3.23,0.616
163,PHL,487746,459454,947200,6.30,1.201
164,PLW,10,522,532,0.00,0.001
165,PNG,27307,6548,33855,0.23,0.043
166,POL,144961,133219,278180,1.85,0.353
167,PRK,1146,0,1146,0.01,0.001
168,PRT,79204,124514,203718,1.35,0.258
169,PRY,70684,62034,132718,0.88,0.168
170,PSE,43,5128,5171,0.03,0.007
171,PYF,1186,1599,2785,0.02,0.004
172,QAT,22745,6878,29623,0.20,0.038
173,ROU,478977,77915,556892,3.70,0.706
174,RUS,957910,305769,1263679,8.41,1.603
175,RWA,181,516,697,0.00,0.001
176,SAU,103470,677632,781102,5.20,0.991
177,SDN,2371,152814,155185,1.03,0.197
178,SEN,21359,6635,27994,0.19,0.036
179,SGP,206799,116556,323355,2.15,0.410
180,SHN,33,0,33,0.00,0.000
181,SLB,21699,0,21699,0.14,0.028
182,SLE,3350,0,3350,0.02,0.004
183,SLV,1500,1455,2955,0.02,0.004
184,SMR,260,0,260,0.00,0.000
185,SOM,80,0,80,0.00,0.000
186,SPM,51,0,51,0.00,0.000
187,SRB,115838,57684,173522,1.15,0.220
188,SSD,0,0,0,0.00,0.000
189,STP,0,2,2,0.00,0.000
190,SUR,45623,3814,49437,0.33,0.063
191,SVK,60073,80642,140715,0.94,0.178
192,SVN,78535,68411,146946,0.98,0.186
193,SWE,730935,56048,786983,5.23,0.998
194,SWZ,2740,0,2740,0.02,0.003
195,SXM,42,0,42,0.00,0.000
196,SYC,3041,0,3041,0.02,0.004
197,SYR,10128,101945,112073,0.75,0.142
198,TCA,275,260,535,0.00,0.001
199,TCD,293,0,293,0.00,0.000
200,TGO,9340,3474,12814,0.09,0.016
201,THA,3431472,4230867,7662339,50.96,9.718
202,TJK,2218,0,2218,0.01,0.003
203,TKM,808,0,808,0.01,0.001
204,TLS,716,0,716,0.00,0.001
205,TON,900,1053,1953,0.01,0.002
206,TTO,528,352,880,0.01,0.001
207,TUN,23140,51503,74643,0.50,0.095
208,TUR,67597,41418,109015,0.73,0.138
209,TUV,373,0,373,0.00,0.000
210,TZA,50540,21696,72236,0.48,0.092
211,UGA,432,326,758,0.01,0.001
212,UKR,104793,58544,163337,1.09,0.207
213,UMI,51,0,51,0.00,0.000
214,URY,164118,162803,326921,2.17,0.415
215,USA,4550636,3267631,7818267,52.00,9.916
216,UZB,7478,0,7478,0.05,0.009
217,VAT,27,0,27,0.00,0.000
218,VCT,254,105,359,0.00,0.000
219,VEN,15401,11458,26859,0.18,0.034
220,VGB,460,0,460,0.00,0.001
221,VNM,968068,2739964,3708032,24.66,4.703
222,VUT,697,568,1265,0.01,0.002
223,WLF,76,0,76,0.00,0.000
224,WSM,199,1684,1883,0.01,0.002
225,YEM,139692,266834,406526,2.70,0.516
226,ZAF,185929,119436,305365,2.03,0.387
227,ZMB,12196,29792,41988,0.28,0.053
228,ZWE,3585,1326,4911,0.03,0.006
