COMTRADE CODE,COMTRADE COUNTRIES,NT = not trop. TR = tropical,Regional Distribution,FAO code
658,"Saint Kitts, Nevis and Anguilla",TR,North America,N/A
659,Saint Kitts and Nevis,TR,North America,188
660,Anguilla,TR,North America,258
662,Saint Lucia,TR,North America,189
666,Saint Pierre and Miquelon,NT,North America,190
670,Saint Vincent and the Grenadines,TR,North America,191
674,San Marino,NT,Europe,192
678,Sao Tome and Principe,TR,Africa,193
682,Saudi Arabia,NT,Asia,194
686,Senegal,TR,Africa,195
688,Serbia,NT,Europe,272
690,Seychelles,TR,Africa,196
694,Sierra Leone,TR,Africa,197
697,"Europe EFTA, not elsewhere specified",NT,Europe,N/A
698,Sikkim,NT,Asia,N/A
699,India,TR,Asia,100
702,Singapore,TR,Asia,200
703,Slovakia,NT,Europe,199
704,Viet Nam,TR,Asia,237
705,Slovenia,NT,Europe,198
706,Somalia,TR,Africa,201
710,South Africa,NT,Africa,202
711,Southern African Customs Union,NT,Africa,N/A
716,Zimbabwe,TR,Africa,181
717,Former Rhodesia Nyas,TR,Africa,N/A
720,Former Democratic Yemen,TR,Asia,247
724,Spain,NT,Europe,203
728,South Sudan,TR,Africa,N/A
729,Sudan (from 2012),TR,Africa,276
732,Western Sahara,NT,Africa,205
736,Fmr Sudan,TR,Africa,206
740,Suriname,TR,South America,207
748,Swaziland,NT,Africa,209
752,Sweden,NT,Europe,210
757,"Switzerland, Liechtenstein",NT,Europe,211
760,Syria,NT,Asia,212
762,Tajikistan,NT,Asia,208
764,Thailand,TR,Asia,216
768,Togo,TR,Africa,217
772,Tokelau,TR,Oceania,218
776,Tonga,TR,Oceania,219
780,Trinidad and Tobago,TR,North America,220
784,United Arab Emirates,NT,Asia,225
788,Tunisia,NT,Africa,222
792,Turkey,NT,Asia,223
795,Turkmenistan,NT,Asia,213
796,Turks and Caicos Islands,TR,North America,224
798,Tuvalu,TR,Oceania,227
800,Uganda,TR,Africa,226
804,Ukraine,NT,Europe,230
807,The Former Yugoslav Republic of Macedonia,NT,Europe,154
810,Former USSR,NT,Europe,228
818,Egypt,NT,Africa,59
826,United Kingdom,NT,Europe,229
834,United Republic of Tanzania,TR,Africa,215
835,Former Tanganyika,TR,Africa,N/A
836,Former Zanzibar and Pemba Island,TR,Africa,N/A
837,Bunkers,,Not specified,N/A
838,Free Zones,,Not specified,N/A
839,Special Categories,,Not specified,N/A
841,USA and Puerto Rico,NT,North America,N/A
842,"USA, Puerto Rico and US Virgin Islands",NT,North America,231
849,US Miscellaneous Pacific Islands,TR,Oceania,N/A
850,US Virgin Islands,TR,North America,240
854,Burkina Faso,TR,Africa,233
858,Uruguay,NT,South America,234
860,Uzbekistan,NT,Asia,235
862,Venezuela,TR,South America,236
866,Former Democratic Republic of Vietnam,TR,Asia,N/A
868,Former Republic of Vietnam,TR,Asia,N/A
876,Wallis and Futuna Islands,TR,Oceania,243
879,"Western Asia, not elsewhere specified",TR,Asia,N/A
882,Samoa,TR,Oceania,244
886,Former Arab Republic of Yemen,TR,Asia,246
887,Yemen,TR,Asia,249
890,Former Yugoslavia,NT,Europe,248
891,Serbia and Montenegro,NT,Europe,186
894,Zambia,TR,Africa,251
899,"Areas, not elsewhere specified",NT,Not specified,N/A
N/A,Channel Islands,NT,Europe,259
N/A,Isle of Man,NT,Europe,264
N/A,Liechtenstein,NT,Europe,125
N/A,Monaco,NT,Europe,140
N/A,Puerto Rico,TR,South America,177
N/A,Svalbard and Jan Mayen Islands,NT,Europe,260
N/A,Wake Island,TR,Asia,242
