Names of products,Exceptions,Tropical,Product code,Nomenclature,Code,Description,unit,calculateAggregate?
UNCOATED MECHANICAL,,,10.1.2,HS12,480261,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (i",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS02      ,480262,"Name: Paper & paperboard, of which >10% by wt. of the total fibre content consist ... Description: Paper & paperboard, of which >10% by wt. of the total fibre content consists of fibres obt. by a mech...process, in sheets...1 side not >435mm [see complete",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS07,480262,"Name: Paper&paperboard, of which >10 % by weight of the total fibre content consists of fibres obtained by a mechanical/chemi-mechanical process, in sheets with one side not>435mm&the other side not>297mm in the unfolded state Description: -- In sheets wi",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS12,480262,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (i",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS02      ,480269,"Name: Uncoated paper & paperboard...& non-perforated punch-cards & punch tape pap ... Description: Uncoated paper & paperboard...& non-perforated punch-cards & punch tape paper...; hand-made paper & paperboard, n.e.s. in Ch.48 [see complete text #63]",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS07,480269,"Name: Paper&paperboard, of which >10 % by weight of the total fibre content consists of fibres obtained by a mechanical/chemi-mechanical process (excl. of 4802.61& 4802.62), n.e.s. Description: -- Other",000 kg,
UNCOATED MECHANICAL,,,10.1.2,HS12,480269,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (i",000 kg,
SANITARY AND HOUSELHOLD PAPER,,,10.2,HS12,4803,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whet",000 kg,
SANITARY AND HOUSELHOLD PAPER,,,10.2,HS96,4803,"Name: Paper, household, sanitary, width > 36 centimetres Description: Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or saniary purposes, cellulose wadding and webs of cellulose fibres, whether or not c",000 kg,
SANITARY AND HOUSELHOLD PAPER,,,10.2,HS02,4803,"Name: Toilet or facial tissue stock, towel or napkin stock Description: Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whether or no",000 kg,
SANITARY AND HOUSELHOLD PAPER,,,10.2,HS07,4803,"Name: Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surface-coloured, surfac",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480411,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Kraftliner : // -- Unbleached
Description: -- Unbleached",000 kg,
CASE MATERIALS,,,10.3.1,HS96,480411,"Name: Paper, Kraftliner, unbleached, uncoated Description: Kraftliner :-- Unbleached",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480411,"Name: Kraftliner, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48.03) Description: Kraftliner, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48.03)",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480411,"Name: Kraftliner, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48.03) Description: -- Unbleached",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480419,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Kraftliner : // -- Other
Description: -- Other",000 kg,
CASE MATERIALS,,,10.3.1,HS96,480419,"Name: Paper, Kraftliner, other than unbleached, uncoated Description: Kraftliner :-- Other",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480419,"Name: Kraftliner, uncoated, other than unbleached, in rolls/sheets (excl. of 48.0 ... Description: Kraftliner, uncoated, other than unbleached, in rolls/sheets (excl. of 48.02/48.03)",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480419,"Name: Kraftliner, uncoated, other than unbleached, in rolls/sheets (excl. of 48.02/48.03) Description: -- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480421,"Name: Sack kraft paper, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48. ... Description: Sack kraft paper, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48.03)",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480421,"Name: Sack kraft paper, uncoated, unbleached, in rolls/sheets (excl. of 48.02/48.03) Description: -- Unbleached",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480421,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Sack kraft paper : // -- Unbleached
Description: -- Unbleached",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480421,"Name: Paper, sack kraft, unbleached, uncoated Description: Sack kraft paper :-- Unbleached",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480429,"Name: Paper, sack kraft, other than unbleached, uncoated Description: Sack kraft paper :-- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480429,"Name: Sack kraft paper, uncoated, other than unbleached, in rolls/sheets (excl. o ... Description: Sack kraft paper, uncoated, other than unbleached, in rolls/sheets (excl. of 48.02/48.03)",000 kg,
