Names of products,Exceptions,Tropical,Product code,Nomenclature,Code,Description,unit,calculateAggregate?
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,480550,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // -Felt paper and paperboard
Descriptio",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,480550,"Name: Felt paper & paperboard, uncoated, in rolls/sheets, not further worked than ... mDescription: Felt paper & paperboard, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48",000 kg,
CASE MATERIALS,,,10.3.1,HS96,480560,"Name: Paper, weighing 150 g/m2 or less, uncoated, nes Description: Other paper and paperboard, weighing 150 g/m2 or less",000 kg,
CASE MATERIALS,,,10.3.1,HS96,480570,"Name: Paper, weighing 150 - 225 g/m2, uncoated, nes Description: Other paper and paperboard, weighing more than 150 g/m2 but less than 225 g/m2",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480580,"Name: Paper, weighing 225 g/m2 or more, uncoated, nes Description: Other paper and paperboard, weighing 225 g/m2 or more ",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480591,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing 150g/m2 Description: -- Weighing 150 g/m² or less",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480591,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Other : // -- Weighing 150 g/m² or ",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480591,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, no ... Description: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighin",000 kg,
CARTONBOARD,,,10.3.2,HS02,480592,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, no ... Description: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighin",000 kg,
CARTONBOARD,,,10.3.2,HS07,480592,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, no ... Description: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighin",000 kg,
CARTONBOARD,,,10.3.2,HS12,480592,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Other : // -- Weighing more than 15",000 kg,
PAPERS MAINLY FOR A PACKAGING,,,10.3.4,HS02,480593,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, no ... Description: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighin",000 kg,
PAPERS MAINLY FOR A PACKAGING,,,10.3.4,HS07,480593,"Name: Uncoated paper & paperboard (excl. of 4801.00-4805.50), in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing 225g/m2/more Description: -- Weighing 225 g/m² or more",000 kg,
PAPERS MAINLY FOR A PACKAGING,,,10.3.4,HS12,480593,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Other : // -- Weighing 225 g/m² or ",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480610,"Name: Paper, vegetable parchment Description: Vegetable parchment",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480610,"Name: Vegetable parchment, in rolls/sheets Description: Vegetable parchment, in rolls/sheets",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480610,"Name: Vegetable parchment, in rolls/sheets Description: - Vegetable parchment",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480610,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets. // -Vegetable parchment
Descripti",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480620,"Name: Paper, greaseproof Description: Greaseproof papers",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480620,"Name: Greaseproof papers, in rolls/sheets Description: Greaseproof papers, in rolls/sheets",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480620,"Name: Greaseproof papers, in rolls/sheets Description: - Greaseproof papers",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480620,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets. // -Greaseproof papers
Descriptio",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,480630,"Name: Tracing papers, in rolls/sheets Description: - Tracing papers",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,480630,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets. // -Tracing papers
Description: -",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480630,"Name: Paper, tracingDescription: Tracing papers",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,480630,"Name: Tracing papers, in rolls/sheets Description: Tracing papers, in rolls/sheets",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480640,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets. // -Glassine and other glazed tra",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480640,"Name: Glassine & other glazed transparent/translucent papers, in rolls/sheets
Description: - Glassine and other glazed transparent or translucent papers",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480640,"Name: Glassine & oth. glazed transparent/translucent papers, in rolls/sheets
Description: Glassine & oth. glazed transparent/translucent papers, in rolls/sheets",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,4808,"Name: Paper, board corrugated creped embossed perforated nes Description: Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,4808,"Name: Paper and paperboard, corrugated Description: Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 48.03.",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,4808,"Name: Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 48.03. Description: Paper and paperboard, corrugated (with ",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,4808,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind descr",000 kg,
COATED PAPERS,,,10.1.4,HS02,480910,"Name: Paper, carbon or similar width >36 cm Description: Carbon or similar copying papers",000 kg,
COATED PAPERS,,,10.1.4,HS96,480910,"Name: Carbon/sim. copying papers, whether or not printed, in rolls >36cm. side/sh ... Description: Carbon/sim. copying papers, whether or not printed, in rolls >36cm. side/sheets of >36cm x >15cm",000 kg,
COATED PAPERS,,,10.1.4,HS02,480920,"Name: Paper, self-copy, width > 36 cm Description: Self-copy paper",000 kg,
COATED PAPERS,,,10.1.4,HS12,480920,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, i",000 kg,
COATED PAPERS,,,10.1.4,HS96,480920,"Name: Self-copy paper, whether or not printed, in rolls/sheets Description: Self-copy paper, whether or not printed, in rolls/sheets",000 kg,
COATED PAPERS,,,10.1.4,HS07,480920," Name: Self-copy paper, whether/not printed, in rolls/sheets Description: - Self-copy paper",000 kg,
COATED PAPERS,"IF <480990> IN HS92, HS96 and HS02 THEN BECOMES 10.4 ELSE 10.1.4",,10.1.4,HS12,480990,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, i",000 kg,
COATED PAPERS,"IF <480990> IN HS92, HS96 and HS02 THEN BECOMES 10.4 ELSE 10.1.4",,10.1.4,HS07,480990,"Name: Carbon paper, other copying/transfer papers (including coated/impregnated paper for duplicator stencils/offset plates), whether/not printed, in rolls/sheets.
Description: - Other",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480990,"Name: Paper, copying or transfer, width >36 cm Description: Other",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,480990,"Name: Copying/transfer papers (incl. coated/impregnated paper for duplicator sten ... Description: Copying/transfer papers (incl. coated/impregnated paper for duplicator stencils/offset plates), whether or not printed, in rolls/sheets (excl. of 4809.10 & ",000 kg,
COATED PAPERS,,,10.1.4,HS02,481011,"Name: Paper, fine, woodfree, <150 g/m2, clay coated Description: Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the tot",000 kg,
COATED PAPERS,,,10.1.4,HS02,481012,"Name: Paper, fine, woodfree, >150 g/m2, clay coated Description: Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the tot",000 kg,
COATED PAPERS,,,10.1.4,HS12,481013,"  Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or no",000 kg,
COATED PAPERS,,,10.1.4,HS96,481013,"Name: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., ... Description: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., coated..., in rolls [see complete text #69]",000 kg,
COATED PAPERS,,,10.1.4,HS07,481013,"Name: Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decora",000 kg,
COATED PAPERS,,,10.1.4,HS12,481014,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
COATED PAPERS,,,10.1.4,HS96,481014,"Name: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., ... Description: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., coated..., in sheets with one side not >435mm & the oth. side not >297mm [see co",000 kg,
COATED PAPERS,,,10.1.4,HS07,481014,"Name: Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decora",000 kg,
COATED PAPERS,,,10.1.4,HS12,481019,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
COATED PAPERS,,,10.1.4,HS96,481019,"Name: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., ... Description: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., coated...(excl. of 4810.13 & 4810.14) [see complete text #71]",000 kg,
COATED PAPERS,,,10.1.4,HS07,481019,"Name: Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decora",000 kg,
COATED PAPERS,,,10.1.4,HS02,481021,"Name: Paper, fine, light weight coated Description: Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process:--Ligh",000 kg,
COATED PAPERS,,,10.1.4,HS12,481022,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
COATED PAPERS,,,10.1.4,HS96,481022,"Name: Light-wt. coated paper, coated on one/both sides with kaolin (China clay).. ... Description: Light-wt. coated paper, coated on one/both sides with kaolin (China clay)... [see complete text #72]",000 kg,
COATED PAPERS,,,10.1.4,HS07,481022,"Name: Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decora",000 kg,
COATED PAPERS,,,10.1.4,HS12,481029,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
COATED PAPERS,,,10.1.4,HS02,481029,"Name: Paper, fine, wood containing clay coated, except light Description: Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mec",000 kg,
COATED PAPERS,,,10.1.4,HS96,481029,"Name: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., ... Description: Paper & paperboard of a kind used for writing/printing/oth. graphic purps., coated on one/both sides with kaolin...(excl. of 4810.22) [see complete text #73",000 kg,
COATED PAPERS,,,10.1.4,HS07,481029,"Name: Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decora",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,481031,"Name: Paper, kraft,>95% chem pulp,<150 g,bleached,clay coat Description: Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,481031,"Name: Kraft paper & paperboard, other than that of a kind used for writing/printi ... Description: Kraft paper & paperboard, other than that of a kind used for writing/printing/oth. graphic purps., coated...bleached...and weighing 150gm/m2/less [see compl",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,481031,"Name: Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-c",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,481031,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
CARTONBOARD,,,10.3.2,HS96,481032,"Name: Paper, kraft,>95% chem pulp,>150 g,bleached,clay coat Description: Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical",000 kg,
CARTONBOARD,,,10.3.2,HS02,481032,"Name: Kraft paper & paperboard, other than that of a kind used for writing/printi ... Description: Kraft paper & paperboard, other than that of a kind used for writing/printing/oth. graphic purps., coated...bleached...and weighing >150gm/m2 [see complete ",000 kg,
CARTONBOARD,,,10.3.2,HS07,481032,"Name: Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-c",000 kg,
CARTONBOARD,,,10.3.2,HS12,481032,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
CARTONBOARD,,,10.3.2,HS96,481039,"Name: Paper, kraft, clay coated, nes Description: Kraft paper and paperboard, other than that of a kind used for writing, printing or other graphic purposes :-- Other",000 kg,
CARTONBOARD,,,10.3.2,HS02,481039,"Name: Kraft paper & paperboard other than that of a kind used for writing/printin ... Description: Kraft paper & paperboard other than that of a kind used for writing/printing/oth. graphic purps., coated...whether or not surface-coloured/decorated/printed",000 kg,
CARTONBOARD,,,10.3.2,HS07,481039,"Name: Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-c",000 kg,
CARTONBOARD,,,10.3.2,HS12,481039,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
CARTONBOARD,,,10.3.2,HS96,481091,"Name: Paper, multi-ply, clay coated, nes Description: Other paper and paperboard :-- Multi-ply",000 kg,
CARTONBOARD,,,10.3.2,HS02,481092,"Name: Multiply paper & paperboard, coated on one/both sides with kaolin...whether ... Description: Multiply paper & paperboard, coated on one/both sides with kaolin...whether or not surface-coloured/surface-decorated/printed, n.e.s. in Ch.48 [see complete",000 kg,
CARTONBOARD,,,10.3.2,HS07,481092,"Name: Paper & paperboard(excl. of 4810.13-4810.39), coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decorated/printed, in rolls/rectangular",000 kg,
CARTONBOARD,,,10.3.2,HS12,481092,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,481099,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not ",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,481099,"Name: Paper & paperboard, coated on one/both sides with kaolin...whether or not s ...
Description: Paper & paperboard, coated on one/both sides with kaolin...whether or not surface-coloured/surface-decorated/printed, n.e.s. in Ch.48 [see complete text #78",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,481099,"Name: Paper & paperboard(excl. of 4810.13-4810.92), coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decorated/printed, in rolls/rectangular",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,481110,"Name: Paper, tarred, bituminised or asphalted, nes Description: Tarred, bituminised or asphalted paper and paperboard",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,481110,"Name: Tarred/bituminised/asphalted paper, paperboard...in rolls/rect. (incl. squa ... Description: Tarred/bituminised/asphalted paper, paperboard...in rolls/rect. (incl. square) sheets, of any size, other than gds. of the kind desc. in 48.03/48.09/48.10 [",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,481121,"Name: Paper, self-adhesive except labels Description: Gummed or adhesive paper and paperboard :-- Self-adhesive",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,481129,"Name: Paper, gummed or adhesive except self-adhesive, labels Description: Gummed or adhesive paper and paperboard :-- Other",000 kg,
CARTONBOARD,,,10.3.2,HS96,481131,"Name: Paper, >150g/m2, bleached, plastic coated/impregnated Description: Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Bleached, weighing more than 150 g/m2",000 kg,
CARTONBOARD,,,10.3.2,HS96,481139,"Name: Paper, coated, impregnated, covered with plastics, nes Description: Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Other",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,481140,"Name: Paper, coat/impregnated with wax/stearin/glycerol, nes Description: Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",000 kg,
CARTONBOARD,,,10.3.2,HS02,481151,"Name: Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesiv ... Description: Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesives), bleached, weighing >150g/m2, in rolls/rect. (incl. square) sheets... [see co",000 kg,
CARTONBOARD,,,10.3.2,HS07,481151,"Name: Paper&paperboard coated/impregnated/ covered with plastics (excluding adhesives), bleached, weighing > 150 g/m², in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10 Descrip",000 kg,
CARTONBOARD,,,10.3.2,HS12,481151,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (incl",000 kg,
CARTONBOARD,,,10.3.2,HS02,481159,"Name: Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesiv ... Description: Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesives), in rolls/rect. (incl. square) sheets... [see complete text #81]",000 kg,
CARTONBOARD,,,10.3.2,HS07,481159,"Name: Paper&paperboard coated/impregnated/ covered with plastics (excl. adhesives&of 4811.51), in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10 Description: -- Other",000 kg,
CARTONBOARD,,,10.3.2,HS12,481159,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (incl",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,481190,"Name: Paper, coated/impregnated/covered/coloured/printed ne Description: Other paper, paperboard, cellulose wadding and webs of cellulose fibres",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,4812,"Name: Filter blocks, slabs and plates, of paper pulp. Description: Filter blocks, slabs and plates, of paper pulp.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,4812,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Filter blocks, slabs and plates, of paper pulp.
Description: Filter blocks, slabs and plates, of paper pulp.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,4812,"Name: Filter blocks, slabs and plates, of paper pulp Description: Filter blocks, slabs and plates, of paper pulp.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,4812,"Name: Filter blocks, slabs and plates, of paper pulp. Description: Filter blocks, slabs and plates, of paper pulp.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,4813,"Name: Cigarette paper, whether or not cut to size or in the form of booklets or tubes. Description: Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,4813,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Cigarette paper, whether or not cut to size or in the form of booklets or tubes.
Description: Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,4813,"Name: Cigarette paper Description: Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,4813,"Name: Cigarette paper, whether or not cut to size or in the form of booklets or t ... Description: Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",000 kg,
CONIFEROUS FURTHER PROCESSED SAWNOOD,,,11.1.C,HS02,440910,"Name: Wood (incl. strips & friezes for parquet flooring, not assembled) continuou ...
Description: Wood (incl. strips & friezes for parquet flooring, not assembled) continuously shaped...whether or not planed/sanded/end-jointed, coniferous [see complete t",,
CONIFEROUS FURTHER PROCESSED SAWNOOD,,,11.1.C,HS07,440910,"Name: Wood (including strips & friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded/the like) along any of its edges, ends/faces, whether/not planed, sanded/end-jointed",,
CONIFEROUS FURTHER PROCESSED SAWNOOD,,,11.1.C,HS12,440910,"Name: Wood and articles of wood; wood charcoal // Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges, e",,
NON-CONIFEROUS FURTHER PROCESSED SAWNOOD,,,11.1.NC,HS02,440920,"Name: Wood (incl. strips & friezes for parquet flooring, not assembled) continuou ...
Description: Wood (incl. strips & friezes for parquet flooring, not assembled) continuously shaped...whether or not planed/sanded/end-jointed, non-coniferous [see comple",,
NON-CONIFEROUS FURTHER PROCESSED SAWNOOD,"TROP from TROP, NC FROM NON TROP",,11.1.NC,HS07,440929,"Name: Wood (including strips&friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded/the like) along any of its edges, ends/faces, whether/not planed/sanded/end-jointed, n",,
NON-CONIFEROUS FURTHER PROCESSED SAWNOOD,"TROP from TROP, NC FROM NON TROP",,11.1.NC,HS12,440929,"Name: Wood and articles of wood; wood charcoal // Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges, e",,
NON-CONIFEROUS FURTHER PROCESSED SAWNOOD,"TROP from TROP, NC FROM NON TROP",,11.1.NC,HS02,440920,"Name: Wood (incl. strips & friezes for parquet flooring, not assembled) continuou ...
Description: Wood (incl. strips & friezes for parquet flooring, not assembled) continuously shaped...whether or not planed/sanded/end-jointed, non-coniferous [see comple",,
WOODEN WRAPPING AND PACKAGING MATERIAL,,,11.2,HS02,4415,"Name: Packing cases, boxes, crates, drums and similar packings, of wood
Description: Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood",,
WOODEN WRAPPING AND PACKAGING MATERIAL,,,11.2,HS02,4416," 	Name: Casks, barrels, vats, tubs and other coopers' products
Description: Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",,
WOODEN WRAPPING AND PACKAGING MATERIAL,,,11.2,HS07,4415,"Name: Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.
Description: Packing cases, boxes, crates, drums and similar packings, of wood; cabl",,
WOODEN WRAPPING AND PACKAGING MATERIAL,,,11.2,HS07,4416," 	Name: Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.
Description: Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",,
WOODEN WRAPPING AND PACKAGING MATERIAL,,,11.2,HS12,4415,"Name: Wood and articles of wood; wood charcoal // Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.
Description: Packing cases, boxes, crate",,
